,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
510,2016-05-24,209.77416666666667,219.39499999999998,68.05416666666666,1.0691666666666666,23.02,31.00375,4.33875
511,2016-05-25,201.20541666666668,188.1966666666667,87.37916666666666,1.01625,23.008333333333336,31.268333333333334,4.1674999999999995
512,2016-05-26,199.09833333333333,187.66375000000002,87.28875,1.01625,22.99625,31.288749999999997,3.704166666666667
513,2016-05-27,157.72166666666666,124.52625,95.31833333333333,0.8033333333333333,22.985,30.7975,3.4562500000000003
514,2016-05-28,184.74416666666664,141.6625,111.45375,0.93,22.97375,30.858333333333334,3.7733333333333334
515,2016-05-29,178.52666666666667,143.47958333333335,102.19333333333333,0.8937499999999999,22.96166666666667,30.652916666666666,3.25625
516,2016-05-30,187.21166666666667,146.19208333333333,111.42583333333334,0.9483333333333334,22.95125,30.94541666666667,3.467916666666667
517,2016-05-31,147.68666666666667,59.24166666666667,143.71583333333334,0.7358333333333333,22.940416666666668,30.729583333333334,3.3241666666666667
518,2016-06-01,198.65166666666667,193.43875,79.83208333333333,1.0175,22.92958333333333,30.72125,3.3554166666666667
519,2016-06-02,134.22458333333333,45.25416666666666,139.02583333333334,0.6566666666666666,22.920833333333334,30.024583333333336,3.1012500000000003
520,2016-06-03,192.70291666666665,174.73333333333332,90.77458333333334,0.9820833333333333,22.91,30.474999999999998,3.2245833333333334
521,2016-06-04,129.15083333333334,33.70916666666667,141.81791666666666,0.625,22.900833333333335,29.534166666666668,2.99375
522,2016-06-05,193.41916666666665,165.70583333333335,96.80916666666667,0.9704166666666666,22.892083333333332,29.324166666666667,2.6358333333333333
523,2016-06-06,174.65083333333334,120.74458333333332,114.69041666666668,0.8566666666666666,22.883333333333336,29.617083333333337,3.8016666666666663
524,2016-06-07,132.34958333333333,43.509166666666665,134.6654166666667,0.6304166666666666,22.875,28.952916666666667,3.5079166666666666
525,2016-06-08,127.95833333333333,40.83291666666667,131.0625,0.6083333333333333,22.868333333333336,29.028750000000002,3.305
526,2016-06-09,192.5666666666667,156.29708333333335,98.83541666666667,0.9387500000000001,22.860416666666666,29.515,5.0062500000000005
527,2016-06-10,185.38541666666666,139.31125,107.29,0.9025,22.85375,30.070833333333336,4.8500000000000005
528,2016-06-11,195.22625000000002,171.67916666666667,90.43291666666666,0.97375,22.847916666666666,30.49875,4.10125
529,2016-06-12,201.7825,192.7095833333333,79.77499999999999,1.02,22.8425,30.414583333333336,4.2179166666666665
530,2016-06-13,193.84333333333333,164.68166666666667,96.35166666666667,0.9720833333333333,22.836250000000003,30.089583333333334,3.5675000000000003
531,2016-06-14,172.76166666666666,129.57,104.01375,0.8575,22.83375,30.20958333333333,3.6208333333333336
532,2016-06-15,164.46625,104.77166666666666,118.37416666666667,0.8083333333333332,22.829583333333332,30.9075,3.5229166666666667
533,2016-06-16,171.30791666666667,105.67666666666668,125.69958333333334,0.8429166666666666,22.826666666666668,30.757500000000004,3.7183333333333333
534,2016-06-17,112.23791666666666,17.2525,136.38750000000002,0.54125,22.824166666666667,29.997500000000002,3.4170833333333337
535,2016-06-18,77.73333333333333,12.775,96.27958333333333,0.3858333333333333,22.8225,29.02125,2.9983333333333335
536,2016-06-19,175.74291666666667,144.90625,94.03083333333332,0.8816666666666667,22.82166666666667,28.825416666666666,2.8070833333333334
537,2016-06-20,149.99166666666665,88.20166666666667,115.79625,0.74625,22.820000000000004,28.375833333333333,2.0570833333333334
538,2016-06-21,181.36958333333334,126.67999999999999,117.56541666666668,0.9033333333333333,22.81958333333333,27.72583333333333,2.795833333333333
539,2016-06-22,178.01791666666668,125.43958333333335,113.61833333333334,0.8833333333333333,22.819999999999997,27.93875,3.2875
540,2016-06-23,160.56916666666666,86.97250000000001,124.64083333333333,0.7658333333333333,22.821250000000003,27.3125,4.098333333333334
541,2016-06-24,159.29999999999998,89.39666666666666,123.42875,0.7733333333333333,22.823333333333334,28.058333333333334,3.439583333333333
542,2016-06-25,106.09500000000001,26.051666666666666,118.77791666666667,0.5079166666666667,22.82541666666667,28.959999999999997,3.6841666666666666
543,2016-06-26,117.57541666666667,31.08875,127.755,0.5625,22.828333333333333,28.55125,2.99625
544,2016-06-27,102.36916666666667,16.6525,121.72250000000001,0.4879166666666667,22.83125,28.859166666666667,3.5712499999999996
545,2016-06-28,75.97375000000001,6.68625,97.53500000000001,0.36125,22.836250000000003,27.386666666666667,4.278333333333333
546,2016-06-29,71.15708333333333,2.60125,94.67083333333333,0.33666666666666667,22.84,27.110833333333332,4.81
547,2016-06-30,98.77083333333333,17.157916666666665,116.60041666666666,0.46749999999999997,22.845416666666665,28.968333333333334,3.9458333333333333
548,2016-07-01,147.76624999999999,54.23875,143.49208333333334,0.7062499999999999,22.850416666666664,30.118333333333336,4.5112499999999995
549,2016-07-02,134.26500000000001,50.160833333333336,131.12541666666667,0.6429166666666667,22.857499999999998,29.90041666666667,3.735416666666667
550,2016-07-03,166.46916666666667,92.02291666666667,131.20541666666665,0.8066666666666666,22.864166666666666,29.6825,3.611666666666667
551,2016-07-04,166.27833333333334,102.23041666666666,120.85625,0.8029166666666666,22.871666666666666,29.005,4.082916666666667
552,2016-07-05,139.2825,41.76333333333333,144.05166666666665,0.6575,22.879166666666666,29.1275,3.8074999999999997
553,2016-07-06,164.18916666666667,90.10458333333332,128.29541666666668,0.7933333333333333,22.888333333333335,29.015,4.099166666666666
554,2016-07-07,157.61291666666668,65.02916666666667,144.31208333333333,0.7525,22.897916666666664,28.765416666666667,4.22125
555,2016-07-08,174.6925,105.44833333333332,127.28708333333333,0.8445833333333334,22.90625,29.596666666666668,4.707083333333333
556,2016-07-09,179.3425,120.00791666666667,118.03333333333335,0.8683333333333333,22.91625,30.22875,4.859583333333333
557,2016-07-10,175.38708333333332,105.45291666666667,128.11291666666668,0.84875,22.92625,30.43375,4.724166666666666
558,2016-07-11,186.24875,134.83875,113.35875,0.9087500000000001,22.93625,30.63625,4.814583333333333
559,2016-07-12,184.3075,136.04208333333335,110.43625000000002,0.89875,22.946250000000003,30.5575,4.3475
560,2016-07-13,194.83624999999998,167.62833333333333,95.86625,0.9745833333333334,22.957916666666666,30.384583333333335,3.4595833333333332
561,2016-07-14,197.42791666666665,181.29999999999998,87.375,0.9954166666666667,22.969583333333333,29.984583333333333,3.578333333333333
562,2016-07-15,140.75,57.17791666666667,134.24458333333334,0.68375,22.980416666666667,29.147499999999997,3.2816666666666667
563,2016-07-16,175.87416666666664,116.78250000000001,121.9975,0.8708333333333335,22.993333333333336,28.674166666666665,2.995416666666667
564,2016-07-17,175.23541666666665,116.02541666666667,118.02083333333333,0.8558333333333334,23.005,28.537916666666664,3.327916666666667
565,2016-07-18,184.64958333333334,139.96,111.55958333333332,0.9183333333333333,23.016666666666666,28.522499999999997,2.78375
566,2016-07-19,103.91000000000001,15.433749999999998,124.07583333333334,0.48875,23.029583333333335,26.833333333333332,1.9974999999999998
567,2016-07-20,142.98125000000002,47.862500000000004,143.89083333333335,0.68125,23.041666666666668,27.925,2.64125
568,2016-07-21,166.63125,87.18416666666667,133.285,0.7879166666666667,23.05333333333333,27.892083333333332,3.8216666666666668
569,2016-07-22,141.76708333333332,45.56666666666667,141.32333333333332,0.6591666666666667,23.066666666666666,27.036666666666665,3.860416666666667
570,2016-07-23,130.04375,40.99708333333333,132.90458333333333,0.6124999999999999,23.079583333333332,27.727083333333336,2.971666666666667
571,2016-07-24,133.40375,51.384166666666665,129.73583333333332,0.6441666666666667,23.092083333333335,27.955416666666665,3.0225000000000004
572,2016-07-25,182.90666666666667,133.83583333333334,112.73916666666666,0.8870833333333333,23.103333333333335,27.58125,2.766666666666667
573,2016-07-26,198.10375,168.00583333333333,96.41166666666668,0.9625,23.11583333333333,27.692083333333333,3.4683333333333333
574,2016-07-27,148.54749999999999,85.92208333333333,112.56666666666666,0.7079166666666666,23.1275,27.70125,3.6325000000000003
575,2016-07-28,195.29666666666665,163.35208333333333,99.40333333333332,0.95375,23.139583333333334,27.65833333333333,3.1470833333333332
576,2016-07-29,175.76958333333334,120.17958333333333,116.13208333333334,0.8525,23.15125,27.829583333333332,3.0712499999999996
577,2016-07-30,149.61958333333334,60.29,138.21708333333333,0.7020833333333334,23.161666666666665,27.724166666666665,3.294166666666667
578,2016-07-31,114.70708333333333,26.553749999999997,128.1625,0.5429166666666666,23.173333333333332,28.198333333333334,3.1995833333333334
579,2016-08-01,112.80541666666666,17.132916666666667,133.59291666666667,0.5233333333333333,23.182916666666667,28.68875,4.060416666666667
580,2016-08-02,95.72625,17.06833333333333,112.6075,0.45125,23.19333333333333,29.277083333333334,4.835833333333333
581,2016-08-03,114.71458333333334,26.18625,127.6825,0.5399999999999999,23.202916666666667,29.757499999999997,4.55375
582,2016-08-04,178.00375,126.51625,111.46083333333333,0.8458333333333333,23.21166666666667,29.49208333333333,3.37375
583,2016-08-05,149.69041666666666,67.20125,131.58,0.7004166666666666,23.22,28.989583333333332,3.9166666666666665
584,2016-08-06,204.45333333333335,183.42666666666665,90.78625,0.98625,23.228333333333335,29.760833333333334,3.580416666666667
585,2016-08-07,200.15083333333334,174.66958333333332,94.07625,0.9658333333333333,23.235,29.666666666666668,3.2329166666666667
586,2016-08-08,205.50291666666666,199.4383333333333,80.07166666666667,1.0020833333333334,23.240416666666665,29.92,3.2779166666666666
587,2016-08-09,184.0525,154.47375,96.04125,0.89,23.246666666666666,29.911666666666665,3.7075
588,2016-08-10,199.64291666666668,199.09916666666666,73.87291666666667,0.9741666666666666,23.250833333333333,30.06125,3.7741666666666664
589,2016-08-11,199.31375,174.105,97.185,0.9679166666666666,23.254583333333333,29.79625,3.3070833333333334
590,2016-08-12,198.93708333333333,168.88625,102.3725,0.96875,23.256249999999998,30.13625,2.96625
