time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160120:0346,385.45,249.11,253.6,1.52,33.9,26.56,1.38,0.0
20160120:0446,472.91,285.14,338.16,1.94,44.99,27.11,1.38,0.0
20160120:0546,395.2,109.53,411.65,1.72,53.4,27.35,1.38,0.0
20160120:0646,401.97,102.03,428.69,1.76,57.01,27.75,1.59,0.0
20160120:0746,154.53,0.0,211.33,0.73,54.32,27.61,1.66,0.0
20160120:0846,457.76,241.72,359.11,1.9,46.49,27.47,1.86,0.0
20160120:0946,208.07,23.44,253.02,0.93,35.7,27.15,2.41,0.0
20160120:1046,76.39,0.0,113.04,0.39,23.38,26.78,2.48,0.0
20160120:1146,103.53,92.81,67.06,0.41,10.25,26.41,2.55,0.0
20160120:1246,0.0,0.0,0.0,0.0,0.0,25.97,2.41,0.0
20160120:1346,0.0,0.0,0.0,0.0,0.0,25.76,2.41,0.0
20160120:1446,0.0,0.0,0.0,0.0,0.0,25.63,2.62,0.0
20160120:1546,0.0,0.0,0.0,0.0,0.0,25.27,2.83,0.0
20160120:1646,0.0,0.0,0.0,0.0,0.0,25.14,2.9,0.0
20160120:1746,0.0,0.0,0.0,0.0,0.0,25.03,2.76,0.0
20160120:1846,0.0,0.0,0.0,0.0,0.0,25.09,2.48,0.0
20160120:1946,0.0,0.0,0.0,0.0,0.0,24.94,2.28,0.0
20160120:2046,0.0,0.0,0.0,0.0,0.0,24.91,2.14,0.0
20160120:2146,0.0,0.0,0.0,0.0,0.0,24.91,2.07,0.0
20160120:2246,0.0,0.0,0.0,0.0,0.0,24.92,2.0,0.0
20160120:2346,0.0,0.0,0.0,0.0,0.0,24.94,1.79,0.0
20160121:0046,0.0,0.0,0.0,0.0,0.0,24.69,1.24,0.0
20160121:0146,44.77,20.47,55.51,0.22,8.21,25.01,0.62,0.0
20160121:0246,292.0,260.36,126.97,1.07,21.45,25.34,0.55,0.0
20160121:0346,452.27,395.78,197.26,1.74,33.96,26.1,0.97,0.0
20160121:0446,468.05,270.86,343.4,1.92,45.1,26.5,1.45,0.0
20160121:0546,639.9,551.5,299.3,2.59,53.57,27.01,2.21,0.0
20160121:0646,605.44,424.6,378.44,2.5,57.22,28.01,2.62,0.0
20160121:0746,660.66,593.89,283.98,2.68,54.55,28.36,2.97,0.0
20160121:0846,623.63,611.97,207.26,2.46,46.69,28.65,3.38,0.0
20160121:0946,463.84,381.41,217.83,1.8,35.88,28.51,3.86,0.0
20160121:1046,275.73,192.63,168.74,1.07,23.54,27.99,4.34,0.0
20160121:1146,106.12,95.08,68.16,0.42,10.38,27.05,4.34,0.0
20160121:1246,0.0,0.0,0.0,0.0,0.0,26.05,4.41,0.0
20160121:1346,0.0,0.0,0.0,0.0,0.0,25.54,4.28,0.0
20160121:1446,0.0,0.0,0.0,0.0,0.0,25.23,3.93,0.0
20160121:1546,0.0,0.0,0.0,0.0,0.0,24.96,3.59,0.0
20160121:1646,0.0,0.0,0.0,0.0,0.0,24.81,3.52,0.0
20160121:1746,0.0,0.0,0.0,0.0,0.0,24.65,3.52,0.0
20160121:1846,0.0,0.0,0.0,0.0,0.0,24.76,3.03,0.0
20160121:1946,0.0,0.0,0.0,0.0,0.0,24.81,2.76,0.0
20160121:2046,0.0,0.0,0.0,0.0,0.0,24.61,2.55,0.0
20160121:2146,0.0,0.0,0.0,0.0,0.0,24.6,2.28,0.0
20160121:2246,0.0,0.0,0.0,0.0,0.0,24.44,2.14,0.0
20160121:2346,0.0,0.0,0.0,0.0,0.0,24.44,2.07,0.0
20160122:0046,0.0,0.0,0.0,0.0,0.0,24.23,2.07,0.0
20160122:0146,58.7,39.08,57.7,0.26,8.21,24.64,1.86,0.0
20160122:0246,268.15,204.46,148.72,1.0,21.48,26.04,2.14,0.0
20160122:0346,451.0,372.44,207.94,1.71,34.02,27.03,3.31,0.0
20160122:0446,475.51,271.64,343.32,1.92,45.21,27.55,3.59,0.0
20160122:0546,252.14,10.24,321.91,1.14,53.74,28.13,3.79,0.0
20160122:0646,242.96,4.52,316.7,1.1,57.45,28.42,3.79,0.0
20160122:0746,237.6,5.66,307.91,1.08,54.78,27.94,3.93,0.0
20160122:0846,525.42,350.63,329.51,2.11,46.91,27.93,4.0,0.0
20160122:0946,488.53,432.04,196.05,1.87,36.06,27.66,4.0,0.0
20160122:1046,280.08,198.2,167.82,1.08,23.69,27.5,4.28,0.0
20160122:1146,83.8,54.55,75.14,0.37,10.52,26.79,4.0,0.0
20160122:1246,0.0,0.0,0.0,0.0,0.0,25.94,3.66,0.0
20160122:1346,0.0,0.0,0.0,0.0,0.0,25.42,3.59,0.0
20160122:1446,0.0,0.0,0.0,0.0,0.0,25.2,3.52,0.0
20160122:1546,0.0,0.0,0.0,0.0,0.0,24.95,3.31,0.0
20160122:1646,0.0,0.0,0.0,0.0,0.0,24.54,3.24,0.0
20160122:1746,0.0,0.0,0.0,0.0,0.0,24.29,3.24,0.0
20160122:1846,0.0,0.0,0.0,0.0,0.0,24.21,3.03,0.0
20160122:1946,0.0,0.0,0.0,0.0,0.0,23.81,3.17,0.0
20160122:2046,0.0,0.0,0.0,0.0,0.0,23.55,3.1,0.0
20160122:2146,0.0,0.0,0.0,0.0,0.0,23.5,3.17,0.0
20160122:2246,0.0,0.0,0.0,0.0,0.0,23.44,3.38,0.0
20160122:2346,0.0,0.0,0.0,0.0,0.0,23.2,3.24,0.0
20160123:0046,0.0,0.0,0.0,0.0,0.0,23.24,3.31,0.0
20160123:0146,75.55,64.29,57.26,0.3,8.22,23.43,3.45,0.0
20160123:0246,319.17,304.04,107.59,1.12,21.51,24.05,3.93,0.0
20160123:0346,488.43,445.68,173.94,1.81,34.09,25.21,4.14,0.0
20160123:0446,437.31,199.68,359.39,1.78,45.32,26.21,4.34,0.0
20160123:0546,567.06,346.64,385.07,2.3,53.91,26.98,4.48,0.0
20160123:0646,379.88,71.15,419.81,1.65,57.68,27.38,4.48,0.0
20160123:0746,190.79,0.0,254.58,0.88,55.02,27.74,4.76,0.0
20160123:0846,290.64,37.63,340.23,1.28,47.12,27.73,4.83,0.0
20160123:0946,477.53,392.72,215.73,1.83,36.24,27.11,5.03,0.0
20160123:1046,274.87,182.86,174.07,1.06,23.85,26.62,5.1,0.0
20160123:1146,35.01,2.93,57.24,0.2,10.65,26.06,4.9,0.0
20160123:1246,0.0,0.0,0.0,0.0,0.0,25.42,4.48,0.0
20160123:1346,0.0,0.0,0.0,0.0,0.0,25.03,4.34,0.0
20160123:1446,0.0,0.0,0.0,0.0,0.0,24.79,4.21,0.0
20160123:1546,0.0,0.0,0.0,0.0,0.0,24.64,4.21,0.0
20160123:1646,0.0,0.0,0.0,0.0,0.0,24.71,4.55,0.0
20160123:1746,0.0,0.0,0.0,0.0,0.0,24.59,4.48,0.0
20160123:1846,0.0,0.0,0.0,0.0,0.0,24.57,4.14,0.0
20160123:1946,0.0,0.0,0.0,0.0,0.0,24.33,3.72,0.0
20160123:2046,0.0,0.0,0.0,0.0,0.0,24.18,3.59,0.0
20160123:2146,0.0,0.0,0.0,0.0,0.0,24.01,3.72,0.0
20160123:2246,0.0,0.0,0.0,0.0,0.0,23.89,3.59,0.0
20160123:2346,0.0,0.0,0.0,0.0,0.0,23.93,3.38,0.0
20160124:0046,0.0,0.0,0.0,0.0,0.0,23.94,3.31,0.0
20160124:0146,66.5,50.51,57.88,0.28,8.22,24.39,3.52,0.0
20160124:0246,289.46,240.58,135.45,1.05,21.55,25.48,4.28,0.0
20160124:0346,317.48,128.47,278.28,1.29,34.16,26.39,4.97,0.0
20160124:0446,317.7,62.24,347.85,1.37,45.44,27.35,5.17,0.0
20160124:0546,695.95,653.77,249.82,2.74,54.09,27.9,5.24,0.0
20160124:0646,745.0,747.81,226.0,2.96,57.91,28.14,5.24,0.0
20160124:0746,725.66,731.45,213.31,2.87,55.26,28.19,5.38,0.0
20160124:0846,462.15,225.43,367.8,1.89,47.33,28.17,5.52,0.0
20160124:0946,376.0,194.22,286.05,1.51,36.42,27.55,5.86,0.0
20160124:1046,287.78,205.55,167.85,1.1,24.0,27.27,5.79,0.0
20160124:1146,82.43,49.39,77.53,0.37,10.78,26.74,5.45,0.0
20160124:1246,0.0,0.0,0.0,0.0,0.0,26.02,4.9,0.0
20160124:1346,0.0,0.0,0.0,0.0,0.0,25.68,4.55,0.0
20160124:1446,0.0,0.0,0.0,0.0,0.0,25.44,3.93,0.0
20160124:1546,0.0,0.0,0.0,0.0,0.0,25.23,3.59,0.0
20160124:1646,0.0,0.0,0.0,0.0,0.0,25.05,3.45,0.0
20160124:1746,0.0,0.0,0.0,0.0,0.0,24.91,3.38,0.0
20160124:1846,0.0,0.0,0.0,0.0,0.0,24.8,2.62,0.0
20160124:1946,0.0,0.0,0.0,0.0,0.0,24.56,2.48,0.0
20160124:2046,0.0,0.0,0.0,0.0,0.0,24.38,2.48,0.0
20160124:2146,0.0,0.0,0.0,0.0,0.0,24.11,2.62,0.0
20160124:2246,0.0,0.0,0.0,0.0,0.0,23.96,2.69,0.0
20160124:2346,0.0,0.0,0.0,0.0,0.0,23.85,2.62,0.0
20160125:0046,0.0,0.0,0.0,0.0,0.0,23.79,2.55,0.0
20160125:0146,59.5,40.21,57.73,0.26,8.24,24.32,2.48,0.0
20160125:0246,287.26,239.95,135.28,1.05,21.59,25.77,3.31,0.0
20160125:0346,489.98,463.06,165.48,1.83,34.24,26.77,3.66,0.0
20160125:0446,514.74,342.94,322.92,2.06,45.57,27.67,3.79,0.0
20160125:0546,557.69,338.9,388.47,2.29,54.28,28.09,3.79,0.0
20160125:0646,675.97,575.59,317.8,2.75,58.15,28.29,3.66,0.0
20160125:0746,675.84,613.19,279.48,2.73,55.51,28.59,3.72,0.0
20160125:0846,584.85,486.51,276.04,2.33,47.55,28.42,3.79,0.0
20160125:0946,512.89,492.1,169.28,1.96,36.61,27.84,3.79,0.0
20160125:1046,325.28,286.63,137.43,1.22,24.16,27.42,3.72,0.0
20160125:1146,108.1,90.83,73.62,0.44,10.91,26.75,3.72,0.0
20160125:1246,0.0,0.0,0.0,0.0,0.0,25.9,3.59,0.0
20160125:1346,0.0,0.0,0.0,0.0,0.0,25.36,3.79,0.0
20160125:1446,0.0,0.0,0.0,0.0,0.0,25.15,3.66,0.0
20160125:1546,0.0,0.0,0.0,0.0,0.0,24.98,3.38,0.0
20160125:1646,0.0,0.0,0.0,0.0,0.0,24.75,3.31,0.0
20160125:1746,0.0,0.0,0.0,0.0,0.0,24.61,3.24,0.0
20160125:1846,0.0,0.0,0.0,0.0,0.0,24.5,2.76,0.0
20160125:1946,0.0,0.0,0.0,0.0,0.0,24.28,2.62,0.0
20160125:2046,0.0,0.0,0.0,0.0,0.0,24.08,2.41,0.0
20160125:2146,0.0,0.0,0.0,0.0,0.0,23.92,2.28,0.0
20160125:2246,0.0,0.0,0.0,0.0,0.0,23.68,2.14,0.0
20160125:2346,0.0,0.0,0.0,0.0,0.0,23.34,2.0,0.0
20160126:0046,0.0,0.0,0.0,0.0,0.0,23.08,2.07,0.0
20160126:0146,74.21,63.33,56.99,0.3,8.26,23.76,1.93,0.0
20160126:0246,287.27,240.58,135.17,1.06,21.64,25.71,2.97,0.0
20160126:0346,457.4,381.6,205.55,1.74,34.32,26.49,3.31,0.0
20160126:0446,538.16,395.26,303.35,2.14,45.7,27.5,3.38,0.0
20160126:0546,605.62,445.95,350.86,2.47,54.47,28.09,3.24,0.0
20160126:0646,697.5,653.55,279.83,2.86,58.4,28.38,2.9,0.0
20160126:0746,687.89,666.33,252.04,2.8,55.76,28.62,2.97,0.0
